Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/16, 03:30:45.780, 2043.0, 2043.5, 2042.9, 2042.9, 137, 109, 62, 75
2024/1/16, 03:31:50.150, 2042.8, 2043.4, 2042.8, 2042.8, 211, 183, 109, 102
2024/1/16, 03:34:18.560, 2042.7, 2043.0, 2042.4, 2043.0, 73, 64, 38, 35
2024/1/16, 03:34:41.833, 2043.1, 2043.4, 2042.8, 2042.8, 234, 205, 101, 133
2024/1/16, 03:35:21.973, 2042.7, 2042.7, 2042.1, 2042.1, 89, 79, 57, 32
2024/1/16, 03:35:58.167, 2042.0, 2042.2, 2041.6, 2042.2, 153, 133, 70, 83
2024/1/16, 03:37:28.589, 2042.3, 2042.3, 2041.7, 2042.3, 200, 178, 83, 117
2024/1/16, 03:41:05.468, 2042.4, 2042.4, 2041.8, 2041.8, 90, 71, 56, 34
2024/1/16, 03:42:19.732, 2041.7, 2041.8, 2041.2, 2041.8, 199, 146, 104, 95
2024/1/16, 03:43:39.640, 2041.9, 2042.0, 2041.4, 2041.4, 258, 203, 155, 103
2024/1/16, 03:46:02.117, 2041.3, 2041.6, 2041.0, 2041.0, 284, 240, 145, 139
2024/1/16, 03:50:27.132, 2040.9, 2041.3, 2040.7, 2040.7, 274, 228, 148, 126
2024/1/16, 03:53:35.746, 2040.6, 2041.2, 2040.6, 2041.2, 168, 134, 56, 112
2024/1/16, 03:56:01.627, 2041.3, 2041.9, 2041.3, 2041.9, 82, 68, 7, 75
2024/1/16, 03:56:17.992, 2042.0, 2042.1, 2041.5, 2042.1, 233, 203, 89, 144
2024/1/16, 03:59:30, 2042.2, 2042.5, 2041.9, 2042.5, 89, 71, 32, 57
2024/1/16, 04:00:05.391, 2042.6, 2042.9, 2042.3, 2042.3, 385, 319, 150, 235
2024/1/16, 04:00:30.481, 2042.2, 2042.5, 2041.9, 2041.9, 502, 448, 239, 263
2024/1/16, 04:04:10.291, 2041.8, 2041.8, 2041.2, 2041.2, 85, 74, 57, 28
2024/1/16, 04:05:16.207, 2041.1, 2041.1, 2040.5, 2041.1, 375, 260, 202, 173
2024/1/16, 04:05:49.426, 2041.2, 2041.7, 2041.1, 2041.7, 111, 90, 37, 74
